time;row_1;
0;2.4127824993907585;
1;-1.5368132651243815;
2;-1.2930289649524196;
3;4.611034238403672;
4;4.959937364464735;
5;8.430493204847544;
6;13.090684032920255;
7;23.016002001648186;
8;25.383739024363596;
9;35.255901578441524;
10;44.31370388297667;
11;48.52450778878894;
12;56.18180781802405;
13;66.29484547503951;
14;79.19554477130242;
16;-0.030184503662247456;
17;-4.7957978488417945;
18;-12.223526806911558;
19;-18.762295854071574;
20;-21.211150423020268;
21;-25.562710844726773;
22;-25.077180980930144;
23;-25.127161282112063;
24;-24.69308440306754;
25;-24.541467318209765;
26;-21.17325355050482;
27;-16.093879405338562;
28;-13.53643497740752;
30;-3.3261905725749323;
31;-40.577818604526556;
32;-70.38570613721497;
33;-92.47656915401028;
34;-109.41486756746446;
35;-115.88290338025823;
36;-119.96510561901825;
37;-124.85086613738702;
38;-125.15484453446352;
39;-126.00808311247954;
40;-127.71795099986039;
41;-128.6602233941915;
42;-132.15390845903786;
43;-139.7996386090544;
44;-152.58508855278143;
45;-173.808217863525;
46;-198.45177595516924;
48;2.508875300995696;
49;-39.29854002933676;
50;-63.76419181256179;
51;-93.02447370401865;
52;-106.00662107530584;
53;-114.36350604544853;
54;-123.42311253308723;
55;-128.80594125015048;
56;-125.65892524083922;
57;-125.41735407762323;
58;-127.39530381875961;
59;-124.66691902150362;
60;-132.84776142947385;
61;-145.42889430679105;
62;-156.0127869932449;
63;-174.82272368618158;
64;-199.41848678916497;
66;-1.0902376969370886;
67;-6.001673231603721;
68;-12.312760338442567;
69;-21.307400001830334;
70;-22.214935740322847;
71;-27.949156702182687;
72;-22.5462387675514;
73;-22.89630111368819;
74;-20.877043368266442;
75;-19.593140077367426;
76;-20.01378751327783;
77;-12.919893654822436;
78;-9.81490029197043;
80;0.8782845908515274;
81;-0.9428601626830888;
82;-11.958971279988186;
83;-16.24258687440517;
84;-19.58066932332328;
85;-24.022611705459266;
86;-25.754928121255443;
87;-24.423908401279185;
88;-27.37395028113918;
89;-25.732756596824945;
90;-14.99649091870189;
91;-14.995422892089477;
92;-11.41422239633056;
94;-0.6347674487357728;
95;7.643815312980978;
96;14.421566530810704;
97;21.96169371811587;
98;20.62121462831894;
99;22.7824033437419;
100;27.172955833734697;
101;28.211366026270102;
102;19.434981374362494;
103;15.367733485538226;
104;14.157841351535726;
106;2.146927251163621;
107;9.463796943235286;
108;11.454637507949021;
109;19.083889834245785;
110;18.975111766678715;
111;23.887833885755803;
112;25.699194211594026;
113;22.014291766125346;
114;22.501667706059745;
115;19.680494579935992;
116;12.385364204072806;
118;2.4799428763269016;
119;1.2648655541732163;
120;1.1379859679495143;
121;4.145596691553958;
122;5.833274307257437;
123;8.481321540682126;
124;15.694017369955208;
125;19.36614995955993;
126;26.66575993294409;
127;34.221124577165256;
128;40.12105236118539;
129;47.56701486280267;
130;61.53788286261199;
131;72.82446522664348;
132;76.21263990221938;
134;-0.14872290035330693;
135;-2.290411040534495;
136;3.2730214635300445;
137;2.985596254538762;
138;10.54815234270544;
139;10.506432093981452;
140;14.60732853512657;
141;17.43446162693595;
142;26.446559609303204;
143;34.04050408111098;
144;39.82736054991142;
145;49.14154288387664;
146;58.651537464196835;
147;69.98556363042789;
148;76.74769992816461;
